name,Image_link,src,Price
Cowpea (30 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/Cowpea-seeds-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-cowpea-Seeds-Online?limit=100,₹30
Drumstick(Moringa) PMK-1 (10 seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Drumstick-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Drumstick(Moringa)-Non-Hybrid-Seeds-online?limit=100,₹80
Herb Krishna Tulasi (200 Seeds),https://www.seedbasket.in/image/cache/catalog/Products/Herbs/Kirshna-Tulasi-228x228-0.jpg,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Krishna-Tulasi-seeds-online?limit=100,₹70
Indian Corn/Maize (15 seeds),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Maize-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Indian-corn-Seeds-online?limit=100,₹45
Leafy Seeds Pack of 10,https://www.seedbasket.in/image/cache/catalog/Products/Non%20Hybrid/Leafy10-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Leafy-Family-Pack-of-10?limit=100,₹270 ₹290
Microgreen Seeds Pack of 5,https://www.seedbasket.in/image/cache/catalog/Products/Kits/Microgreens-228x228-0.jpeg,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Micro-Greens-Seeds?limit=100,₹498 ₹650
Microgreen Sunflower Seeds (50 Grams),https://www.seedbasket.in/image/cache/catalog/Updated%20Images/Sunflower-Microgreens-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-Sunflower-Microgreen-Seeds-Online?limit=100,₹99
Microgreen Wheat Grass Seeds (100 Grams),https://www.seedbasket.in/image/cache/catalog/Products/MicroGreens/Wheat-Seeds-228x228-0.jpg,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Buy-WheatGrass-Microgreen-Seeds-Online?limit=100,₹85
Microgreens Growing Kit Pack of 2,https://www.seedbasket.in/image/cache/catalog/Products/MicroGreens/Microgreen-growing-kit-mini-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Microgreens-Growing-Kit-mini?limit=100,₹350 ₹380
Microgreens Growing Kit Pack-5,https://www.seedbasket.in/image/cache/catalog/Products/MicroGreens/Microgreen-growing-kit-pack5-228x228-0.png,https://www.seedbasket.in/Non-Hybrid-OP-Desi-Vegetable-Seeds/Microgreens-Growing-Kit?limit=100,₹780
